FECHA,REGION,PROVINCIA,CONTAGIADOS,FALLECIDOS
2/27/2020,COSTA,Guayas,1,
3/13/2020,COSTA,Guayas,7,1
3/13/2020,COSTA,Los Ríos,11,
3/14/2020,COSTA,Guayas,11,2
3/14/2020,COSTA,Los Ríos,11,
3/15/2020,COSTA,Guayas,19,2
3/15/2020,COSTA,Los Ríos,10,
3/16/2020,COSTA,Guayas,37,2
3/16/2020,COSTA,Los Ríos,10,
3/16/2020,COSTA,Manabí,1,
3/17/2020,COSTA,Guayas,81,2
3/17/2020,COSTA,Los Ríos,10,
3/17/2020,COSTA,Manabí,1,
3/17/2020,COSTA,Santa Elena,3,
3/17/2020,COSTA,El Oro,1,
3/18/2020,COSTA,Guayas,128,3
3/18/2020,COSTA,El Oro,1,
3/18/2020,COSTA,Manabí,8,
3/18/2020,COSTA,Los Ríos ,10,
3/19/2020,COSTA,Guayas ,187,4
3/19/2020,COSTA,Los Ríos ,16,
3/19/2020,COSTA,Manabí,8,
3/19/2020,COSTA,El Oro,1,
3/20/2020,COSTA,Guayas,318,5
3/20/2020,COSTA,Santa Elena,1,
3/20/2020,COSTA,Manabí,9,1
3/20/2020,COSTA,Los Ríos,19,
3/21/2020,COSTA,Guayas,397,5
3/21/2020,COSTA,Santa Elena,1,
3/21/2020,COSTA,Manabí,9,1
3/21/2020,COSTA,Los Ríos,22,
3/21/2020,COSTA,El Oro,2,1
3/21/2020,COSTA,Esmeraldas,2,
3/22/2020,COSTA,Guayas,607,10
3/22/2020,COSTA,Santa Elena,2,
3/22/2020,COSTA,Manabí,25,1
3/22/2020,COSTA,Los Ríos ,25,2
3/22/2020,COSTA,El Oro,6,1
3/22/2020,COSTA,Esmeraldas,2,
3/23/2020,COSTA,Guayas,769,14
3/23/2020,COSTA,Santa Elena,4,
3/23/2020,COSTA,Manabí,27,1
3/23/2020,COSTA,Los Ríos,28,2
3/23/2020,COSTA,El Oro,9,1
3/23/2020,COSTA,Esmeraldas,3,
3/24/2020,COSTA,Guayas,826,19
3/24/2020,COSTA,Santa Elena,6,
3/24/2020,COSTA,Manabí,32,2
3/24/2020,COSTA,Los Ríos,37,3
3/24/2020,COSTA,El Oro,14,3
3/24/2020,COSTA,Esmeraldas,3,
3/25/2020,COSTA,Guayas,885,21
3/25/2020,COSTA,Santa Elena,6,
3/25/2020,COSTA,Manabí,38,2
3/25/2020,COSTA,Los Ríos,40,3
3/25/2020,COSTA,Esmeraldas,4,
3/25/2020,COSTA,El Oro,17,4
